zip,city,street_number,street_name,street_type,postdirection,student_id,state
66692,"Topeka",1076,"QUESADA","AVE","",106264,"KS"
66619,"Topeka",1910,"LINDSAY","CIR","",100497,"KS"
66549,"Westmoreland",7444,"KELLOCH","AVE","",105549,"KS"
66647,"Topeka",9798,"VALMAR","TER","",100267,"KS"
66110,"Kansas City",6733,"SELBY","ST","",101544,"KS"
66692,"Topeka",734,"JUANITA","WAY","",104164,"KS"
66628,"Topeka",7952,"LITTLEFIELD","TER","",100792,"KS"
66615,"Topeka",7017,"OLIVE","ST","",101193,"KS"
66617,"Topeka",243,"ILLINOIS","ST","",103669,"KS"
66642,"Topeka",9680,"MONTEREY","BLVD","",107267,"KS"
66221,"Overland Park",9846,"TROY","ALY","",102807,"KS"
66699,"Topeka",245,"ROSEMARY","CT","",102090,"KS"
66438,"Home",170,"WARNER","PL","",104923,"KS"
66642,"Topeka",2007,"MARENGO","ST","",102818,"KS"
66653,"Topeka",3549,"TAYLOR","ST","",101751,"KS"
66609,"Topeka",693,"BOUTWELL","ST","",107930,"KS"
66604,"Topeka",5528,"MILES","CT","",105013,"KS"
66621,"Topeka",857,"COCHRANE","ST","",105420,"KS"
66642,"Topeka",2405,"POMONA","ST","",104226,"KS"
66652,"Topeka",39,"STARK","ST","",101804,"KS"
66104,"Kansas City",3478,"MAXWELL","CT","",100255,"KS"
66636,"Topeka",2252,"SAN ANTONIO","PL","",107546,"KS"
66603,"Topeka",310,"MEGAN","DR","",104857,"KS"
66601,"Topeka",1569,"BERNARD","ST","",100597,"KS"
66106,"Kansas City",6872,"WEST PACIFIC","AVE","",104579,"KS"
66609,"Topeka",8634,"BANKS","ST","",102687,"KS"
66601,"Topeka",8591,"ARLETA","AVE","",103793,"KS"
66527,"Powhattan",1503,"BERNICE RODGERS","WAY","",101545,"KS"
66225,"Overland Park",1401,"ALTA VISTA","TER","",102938,"KS"
66210,"Overland Park",8246,"SAN MIGUEL","ST","",103390,"KS"
66683,"Topeka",7454,"HANGAH","ST","",104241,"KS"
66111,"Kansas City",7728,"TAMPA","LN","",103067,"KS"
66637,"Topeka",8827,"LAPHAM","WAY","",100450,"KS"
66015,"Colony",6188,"CARGO","WAY","",106453,"KS"
66605,"Topeka",7665,"MIRALOMA","DR","",101241,"KS"
66624,"Topeka",5603,"AQUAVISTA","WAY","",103565,"KS"
66652,"Topeka",1077,"MCLAREN","AVE","",103927,"KS"
66610,"Topeka",8121,"SHAW","ALY","",104812,"KS"
66541,"Summerfield",513,"OTEGA","AVE","",101336,"KS"
66622,"Topeka",1750,"WALNUT","ST","",103921,"KS"
66625,"Topeka",4349,"ALOHA","AVE","",101776,"KS"
66636,"Topeka",4803,"CLARA","ST","",102509,"KS"
66624,"Topeka",4209,"CARRIE","ST","",101454,"KS"
66604,"Topeka",1694,"HOMEWOOD","CT","",106199,"KS"
66063,"Olathe",1468,"ENTRADA","CT","",100240,"KS"
66675,"Topeka",6399,"TORNEY","AVE","",103108,"KS"
66624,"Topeka",1086,"MISSION BAY","DR","",105954,"KS"
66675,"Topeka",1683,"HOMESTEAD","ST","",101590,"KS"
66620,"Topeka",7883,"AVOCA","ALY","",107014,"KS"
66109,"Kansas City",2443,"MONCADA","WAY","",100645,"KS"
66160,"Kansas City",8909,"SEQUOIA","WAY","",107459,"KS"
66620,"Topeka",6270,"FAIR OAKS","ST","",103913,"KS"
66607,"Topeka",141,"OLD MASON","ST","",106718,"KS"
66636,"Topeka",1894,"FRATESSA","CT","",100882,"KS"
66622,"Topeka",2377,"QUEBEC","AVE","",104512,"KS"
66283,"Overland Park",2059,"WEST VIEW","AVE","",104807,"KS"
66624,"Topeka",828,"SHERWOOD","CT","",103100,"KS"
66407,"Belvue",9247,"CLARENCE","PL","",103536,"KS"
66607,"Topeka",8463,"AVENUE N","","",101809,"KS"
66619,"Topeka",351,"UNNAMED 148","","",103681,"KS"
66675,"Topeka",2571,"DECATUR","ST","",106083,"KS"
66282,"Overland Park",1881,"UNNAMED 040","","",101981,"KS"
66637,"Topeka",4541,"ACEVEDO","AVE","",102937,"KS"
66251,"Overland Park",6251,"UNNAMED 190","","",107013,"KS"
66617,"Topeka",9369,"ROD","RD","",105417,"KS"
66203,"Shawnee",9705,"CHAIN OF LAKES","DR","",106967,"KS"
66647,"Topeka",1672,"CHILTON","AVE","",106775,"KS"
66104,"Kansas City",2703,"CARMEL","ST","",107238,"KS"
66625,"Topeka",2771,"MACALLA","RD","",105855,"KS"
66683,"Topeka",4505,"OLYMPIA","WAY","",103090,"KS"
66667,"Topeka",9852,"BROADMOOR","DR","",101829,"KS"
66620,"Topeka",2584,"MEDAU","PL","",102954,"KS"
66653,"Topeka",9596,"MAPLE","ST","",102193,"KS"
66653,"Topeka",8426,"03RD","ST","",105801,"KS"
66546,"Wakarusa",6612,"UNNAMED 188","","",103103,"KS"
66607,"Topeka",2534,"OAKHURST","LN","",105367,"KS"
66160,"Kansas City",8165,"SARGENT","ST","",100485,"KS"
66699,"Topeka",5726,"DARTMOUTH","ST","",104516,"KS"
66629,"Topeka",163,"FOREST","RD","",100981,"KS"
66007,"Basehor",8245,"HIMMELMANN","PL","",102681,"KS"
66712,"Arma",6979,"06TH","AVE","",103926,"KS"
66845,"Cottonwood Falls",1960,"CORAL","RD","",106800,"KS"
66282,"Overland Park",2265,"CLIPPER","ST","",102295,"KS"
66620,"Topeka",8569,"CHARTER OAK","AVE","",106556,"KS"
66692,"Topeka",7031,"BUTTE","PL","",105484,"KS"
66221,"Overland Park",421,"MULFORD","ALY","",101928,"KS"
66601,"Topeka",8550,"KNOTT","CT","",103222,"KS"
66282,"Overland Park",9500,"DOVE","LOOP","",103769,"KS"
66604,"Topeka",872,"BLACK","PL","",101184,"KS"
66610,"Topeka",4147,"UNNAMED 165","","",100067,"KS"
66636,"Topeka",9214,"GENOA","PL","",103787,"KS"
66605,"Topeka",9738,"SAINT FRANCIS","PL","",107593,"KS"
66758,"Neosho Falls",4115,"TURK","BLVD","",106250,"KS"
66609,"Topeka",1086,"FORT MILEY 6","","",101672,"KS"
66610,"Topeka",7730,"POPE","ST","",103556,"KS"
66603,"Topeka",5660,"WAWONA","ST","",107166,"KS"
66767,"Prescott",7730,"STOCKTON","ST","",105991,"KS"
66097,"Winchester",3986,"KERN","ST","",102358,"KS"
66608,"Topeka",9579,"SIBLEY","RD","",104025,"KS"
66647,"Topeka",5950,"STARR KING","WAY","",103869,"KS"
,"",8528,"CALGARY","ST","",103115,"KS"
66763,"Frontenac",8825,"STURGEON","ST","",103451,"KS"
66609,"Topeka",8620,"SUNGLOW","LN","",101194,"KS"
66283,"Overland Park",6353,"BLAIR","TER","",104519,"KS"
66629,"Topeka",7959,"SANTA MONICA","WAY","",104028,"KS"
66224,"Overland Park",7470,"RAMSEL","CT","",105913,"KS"
66106,"Kansas City",6072,"CASCADE","WALK","",100692,"KS"
66102,"Kansas City",4902,"ROBINSON","DR","",104978,"KS"
66221,"Overland Park",9680,"HOTALING","PL","",104247,"KS"
66628,"Topeka",3267,"CARSON","ST","",104939,"KS"
66213,"Overland Park",2915,"MARKET","ST","",107632,"KS"
66207,"Overland Park",8106,"SANTA CRUZ","AVE","",105039,"KS"
66637,"Topeka",1367,"FRIDA KAHLO","WAY","",102946,"KS"
66603,"Topeka",3025,"16TH","AVE","",100870,"KS"
66225,"Overland Park",2321,"LA SALLE","AVE","",101461,"KS"
66653,"Topeka",3670,"VIDAL","DR","",107352,"KS"
66617,"Topeka",8377,"SAINT MARYS","AVE","",104892,"KS"
66601,"Topeka",882,"PORTAL","DR","",105481,"KS"
66619,"Topeka",1954,"REDWOOD","ST","",102698,"KS"
66675,"Topeka",8148,"GOLDBERG","LN","",105749,"KS"
66615,"Topeka",795,"BERWICK","PL","",101836,"KS"
66626,"Topeka",3753,"ALLSTON","WAY","",102164,"KS"
66542,"Tecumseh",1793,"RICHARDSON","AVE","",107085,"KS"
66601,"Topeka",3348,"RANDALL","ST","",101058,"KS"
66063,"Olathe",457,"BELMONT","AVE","",101930,"KS"
66675,"Topeka",753,"WEDEMEYER","ST","",102943,"KS"
66225,"Overland Park",2999,"IOWA","ST","",102644,"KS"
66653,"Topeka",9123,"LAGUNA","ST","",101052,"KS"
66628,"Topeka",370,"FRIDA KAHLO","WAY","",101203,"KS"
66605,"Topeka",553,"MONTAGUE","PL","",100066,"KS"
66626,"Topeka",2392,"LAKE","ST","",105313,"KS"
66210,"Overland Park",3620,"ONEIDA","AVE","",104678,"KS"
66612,"Topeka",7844,"LONG","AVE","",107858,"KS"
66611,"Topeka",588,"ANZA","AVE","",102921,"KS"
66101,"Kansas City",9859,"LURLINE","ST","",100048,"KS"
66438,"Home",6881,"GRAND VIEW","AVE","",100619,"KS"
66622,"Topeka",917,"06TH HP","AVE","",102253,"KS"
66103,"Kansas City",5189,"KRAMER","PL","",105292,"KS"
66610,"Topeka",6871,"SEARS","ST","",106261,"KS"
66606,"Topeka",998,"HUNTINGTON","DR","",101380,"KS"
66622,"Topeka",7332,"MICHIGAN","ST","",105333,"KS"
66601,"Topeka",5825,"ESSEX","ST","",102905,"KS"
66667,"Topeka",2006,"ACORN","ALY","",107817,"KS"
66601,"Topeka",2441,"15TH","AVE","",107034,"KS"
66616,"Topeka",8444,"JUNIPERO SERRA BLVD OFF","RAMP","",100957,"KS"
66675,"Topeka",5440,"WATERLOO","ST","",106960,"KS"
66652,"Topeka",116,"ESPANOLA","ST","",101148,"KS"
66115,"Kansas City",9781,"JOOST","AVE","",103418,"KS"
66212,"Overland Park",4211,"CASTENADA","AVE","",103170,"KS"
66699,"Topeka",4147,"DAVIDSON","AVE","",107841,"KS"
66642,"Topeka",7499,"SADDLEBACK","DR","",106286,"KS"
66601,"Topeka",5643,"WATERVILLE","ST","",100411,"KS"
66119,"Kansas City",4881,"NATICK","ST","",107724,"KS"
66112,"Kansas City",4590,"STONEYBROOK","AVE","",100815,"KS"
66160,"Kansas City",688,"DESMOND","ST","",106000,"KS"
66683,"Topeka",2461,"MARINE","DR","",104345,"KS"
66699,"Topeka",9747,"YERBA BUENA","LN","",106338,"KS"
66778,"Treece",1434,"VERDI","PL","",104570,"KS"
66094,"White Cloud",3655,"NATOMA","ST","",106152,"KS"
66102,"Kansas City",7847,"MONTALVO","AVE","",101799,"KS"
66541,"Summerfield",8078,"ZANOWITZ","AVE","",105282,"KS"
66104,"Kansas City",4308,"ANZAVISTA","AVE","",101457,"KS"
66111,"Kansas City",5433,"BUSH","ST","",105918,"KS"
66609,"Topeka",1603,"HAMILTON","ST","",107179,"KS"
66608,"Topeka",2448,"BOWLEY","CT","",101458,"KS"
66449,"Leonardville",6582,"WEST CRYSTAL COVE","TER","",105394,"KS"
66614,"Topeka",8048,"UNNAMED 065","","",101087,"KS"
66755,"Moran",350,"EL POLIN","LOOP","",107590,"KS"
66624,"Topeka",2825,"UNITED NATIONS","PLZ","",104835,"KS"
66667,"Topeka",3774,"ARROYO","WAY","",105185,"KS"
66101,"Kansas City",2498,"ALBERTA","ST","",102047,"KS"
66606,"Topeka",8204,"FILLMORE","ST","",106116,"KS"
66214,"Overland Park",8569,"SHIP","ST","",104263,"KS"
66119,"Kansas City",2248,"SCHWERIN","ST","",103552,"KS"
66207,"Overland Park",7413,"KERN","ST","",101756,"KS"
66110,"Kansas City",4673,"BOWMAN","CT","",106657,"KS"
66104,"Kansas City",9694,"FOWLER","AVE","",103459,"KS"
66214,"Overland Park",5939,"HARRIS","PL","",100794,"KS"
66699,"Topeka",1262,"BERCUT ACCESS","RD","",107517,"KS"
66117,"Kansas City",457,"LINCOLN","CT","",105033,"KS"
66625,"Topeka",727,"MCNAIR","CT","",107770,"KS"
66652,"Topeka",7048,"PENINSULA","AVE","",106034,"KS"
66118,"Kansas City",7007,"UPTON","ST","",100150,"KS"
66628,"Topeka",5393,"HOLLYWOOD","CT","",101212,"KS"
66615,"Topeka",5071,"HERITAGE","LN","",102076,"KS"
66692,"Topeka",759,"UNNAMED 025","","",105406,"KS"
66642,"Topeka",9503,"ELIZABETH","ST","",105963,"KS"
66105,"Kansas City",3599,"COLUSA","PL","",100157,"KS"
66733,"Erie",9204,"BLAIRWOOD","LN","",103765,"KS"
66094,"White Cloud",5578,"NAYLOR","ST","",106413,"KS"
66282,"Overland Park",1961,"CHARLES J BRENHAM","PL","",104319,"KS"
66503,"Manhattan",2638,"COLUMBIA SQUARE","ST","",107151,"KS"
66612,"Topeka",734,"JUANITA","WAY","",103471,"KS"
66541,"Summerfield",1711,"UNNAMED 043","","",103272,"KS"
66683,"Topeka",6885,"CANDLESTICK COVE","WAY","",107037,"KS"
66608,"Topeka",2973,"NICHOLS","WAY","",100838,"KS"
66206,"Leawood",6618,"PARK PRESIDIO BYPASS","DR","",105852,"KS"
66675,"Topeka",5158,"COWELL","PL","",105529,"KS"
66653,"Topeka",3077,"SONOMA","ST","",101773,"KS"
66094,"White Cloud",9390,"SUMMIT","ST","",106283,"KS"
66214,"Overland Park",9037,"YACHT","RD","",107634,"KS"
66621,"Topeka",134,"KENNEDY","PL","",102949,"KS"
66636,"Topeka",,"GOLETA","AVE","",107747,"KS"
66780,"Walnut",8808,"ADA","CT","",102289,"KS"
66521,"Onaga",8134,"HULBERT","ALY","",107319,"KS"
66604,"Topeka",3536,"BLACKSTONE","CT","",103633,"KS"
66622,"Topeka",2302,"JOICE","ST","",107701,"KS"
66094,"White Cloud",6985,"NOE","ST","",103987,"KS"
66056,"Mound City",1930,"DOCK","ST","",106909,"KS"
66614,"Topeka",3209,"MCCOPPIN","ST","",107880,"KS"
66667,"Topeka",5129,"DELANO","AVE","",107226,"KS"
66629,"Topeka",9329,"MERSEY","ST","",105782,"KS"
66080,"Richmond",1700,"NEY","ST","",102974,"KS"
66675,"Topeka",759,"14TH","ST","",101786,"KS"
66624,"Topeka",1184,"WEST VIEW","AVE","",100557,"KS"
66653,"Topeka",8025,"WEBSTER","ST","",102245,"KS"
66614,"Topeka",1659,"OSCAR","ALY","",101119,"KS"
66105,"Kansas City",3938,"UNNAMED 031","","",105568,"KS"
66614,"Topeka",6524,"TRAINOR","ST","",106158,"KS"
66625,"Topeka",9871,"LICK","PL","",104666,"KS"
66624,"Topeka",9950,"WISSER","CT","",101280,"KS"
66625,"Topeka",5808,"JOHN MAHER","ST","",107892,"KS"
66115,"Kansas City",2646,"PIOCHE","ST","",105843,"KS"
66103,"Kansas City",7144,"POST","ST","",100685,"KS"
66117,"Kansas City",2862,"NIMITZ","LN","",102409,"KS"
66533,"Rossville",7680,"41ST","AVE","",103983,"KS"
66642,"Topeka",4295,"EXPOSITION","DR","",102234,"KS"
66106,"Kansas City",5690,"CAIRE","TER","",101874,"KS"
66223,"Overland Park",7271,"GATEVIEW 2","CT","",103579,"KS"
66221,"Overland Park",2063,"VISTA","CT","",105566,"KS"
66642,"Topeka",1318,"FISHER","ALY","",104231,"KS"
66619,"Topeka",6303,"CLAY","ST","",106552,"KS"
66642,"Topeka",9888,"TOLEDO","WAY","",107656,"KS"
66619,"Topeka",4989,"CONGO","ST","",104995,"KS"
66699,"Topeka",1892,"BROWN","ST","",104865,"KS"
66625,"Topeka",8330,"JAMES","PL","",104150,"KS"
66624,"Topeka",4145,"DE HARO","ST","",102761,"KS"
66610,"Topeka",3611,"VISTA VERDE","CT","",105236,"KS"
66607,"Topeka",4930,"JEWETT","ST","",106527,"KS"
66160,"Kansas City",4714,"10TH","AVE","",102091,"KS"
66102,"Kansas City",694,"JURI","ST","",105259,"KS"
66250,"Shawnee Mission",6122,"HARTFORD","ST","",101432,"KS"
66080,"Richmond",6157,"MUIR","LOOP","",107476,"KS"
66628,"Topeka",2673,"BRUSSELS","ST","",106426,"KS"
66204,"Overland Park",7144,"POST","ST","",107130,"KS"
66692,"Topeka",9643,"PRETOR","WAY","",105218,"KS"
66606,"Topeka",1729,"BACON","ST","",105975,"KS"
66412,"Bremen",6281,"CONKLING","ST","",102920,"KS"
66105,"Kansas City",1315,"FRESNO","ST","",107811,"KS"
66160,"Kansas City",8844,"AUSTIN","ST","",106568,"KS"
66619,"Topeka",4607,"RESTANI","WAY","",105898,"KS"
66110,"Kansas City",5251,"MACARTHUR","AVE","",100576,"KS"
66105,"Kansas City",7328,"BARRY","CT","",102374,"KS"
66749,"Iola",1142,"ELM","ST","",101323,"KS"
66213,"Overland Park",7401,"STONEYFORD","AVE","",104249,"KS"
66611,"Topeka",2538,"RACINE","LN","",104585,"KS"
66618,"Topeka",4001,"CURTIS","ST","",106087,"KS"
66642,"Topeka",3633,"LA BICA","WAY","",106978,"KS"
66617,"Topeka",7548,"MILEY","ST","",107146,"KS"
66621,"Topeka",1133,"OMAR","WAY","",107247,"KS"
66615,"Topeka",414,"LETTERMAN","DR","",100266,"KS"
66609,"Topeka",1534,"PATTERSON","ST","",102308,"KS"
66204,"Overland Park",8723,"14TH TI","ST","",101272,"KS"
66622,"Topeka",3890,"NAVAJO","AVE","",105445,"KS"
66103,"Kansas City",9501,"FULTON","ST","",103651,"KS"
66626,"Topeka",6880,"ERVINE","ST","",105771,"KS"
66103,"Kansas City",5745,"BLANKEN","AVE","",102213,"KS"
66213,"Overland Park",9716,"WEST POINT","RD","",102242,"KS"
66610,"Topeka",6259,"SANTA ROSA","AVE","",107410,"KS"
66601,"Topeka",1142,"ESCONDIDO","AVE","",101732,"KS"
66612,"Topeka",1709,"JUNIPERO SERRA BLVD ON","RAMP","",106540,"KS"
66617,"Topeka",8734,"JESSIE EAST","ST","",106282,"KS"
66606,"Topeka",8803,"STOREY","AVE","",103267,"KS"
66603,"Topeka",2879,"CYRIL MAGNIN","ST","",102767,"KS"
66628,"Topeka",974,"MERCURY","ST","",104712,"KS"
66629,"Topeka",7272,"29TH","AVE","",105355,"KS"
66683,"Topeka",3568,"DAY","ST","",105325,"KS"
66115,"Kansas City",3115,"TARA","ST","",102496,"KS"
66614,"Topeka",3163,"JOSE SARRIA","CT","",104209,"KS"
66094,"White Cloud",1588,"DANVERS","ST","",105388,"KS"
66609,"Topeka",7548,"DEVONSHIRE","WAY","",104732,"KS"
66699,"Topeka",7737,"EUCALYPTUS","DR","",106187,"KS"
66683,"Topeka",6998,"COLLEGE","TER","",101772,"KS"
66111,"Kansas City",8114,"PRAGUE","ST","",100011,"KS"
66204,"Overland Park",4283,"CESAR CHAVEZ ON","RAMP","",100913,"KS"
66606,"Topeka",8941,"SAMPSON","AVE","",106011,"KS"
66112,"Kansas City",7037,"HUMBOLDT","ST","",102514,"KS"
66603,"Topeka",4621,"MARIPOSA","ST","",100617,"KS"
66106,"Kansas City",6195,"STEVENSON","ST","",104270,"KS"
66606,"Topeka",483,"TALBERT","CT","",107925,"KS"
66733,"Erie",3686,"19TH","AVE","",103352,"KS"
66103,"Kansas City",8577,"UNNAMED 078","","",106267,"KS"
66611,"Topeka",8832,"WIESE","ST","",101939,"KS"
66667,"Topeka",8884,"OLORAN","AVE","",103894,"KS"
66611,"Topeka",7998,"BAYVIEW","CIR","",107318,"KS"
66608,"Topeka",9877,"I-80 TO HWY 101","RAMP","",104409,"KS"
66105,"Kansas City",7097,"MEDA","AVE","",101430,"KS"
66753,"Mc Cune",7563,"CESAR CHAVEZ ON","RAMP","",106914,"KS"
66606,"Topeka",3753,"VALLEY","ST","",102344,"KS"
66629,"Topeka",8653,"BREWSTER","ST","",104762,"KS"
66616,"Topeka",501,"FLOOD","AVE","",106703,"KS"
66106,"Kansas City",1631,"26TH","ST","",101045,"KS"
66713,"Baxter Springs",5792,"JERSEY","ST","",103149,"KS"
66636,"Topeka",8964,"FAXON","AVE","",101852,"KS"
66251,"Overland Park",6877,"GEORGE","CT","",104727,"KS"
66626,"Topeka",5737,"CALVERT","DR","",102979,"KS"
66636,"Topeka",641,"MONUMENT","WAY","",103956,"KS"
66618,"Topeka",7770,"MARIETTA","DR","",104521,"KS"
66626,"Topeka",1329,"ROBERT C LEVY","TUNL","",104010,"KS"
66626,"Topeka",6514,"UNNAMED 187","","",100382,"KS"
66618,"Topeka",5690,"CAIRE","TER","",104729,"KS"
66652,"Topeka",7682,"CLIPPER","TER","",100709,"KS"
66621,"Topeka",3828,"COWLES","ST","",107178,"KS"
66614,"Topeka",3732,"NEWCOMB","AVE","",101673,"KS"
66225,"Overland Park",293,"PRIEST","ST","",101850,"KS"
66622,"Topeka",7571,"MILLER","RD","",100189,"KS"
66626,"Topeka",6618,"PARK PRESIDIO BYPASS","DR","",100712,"KS"
66160,"Kansas City",4575,"SAN ALESO","AVE","",102654,"KS"
66119,"Kansas City",1201,"INDUSTRIAL ST OFF","RAMP","",100965,"KS"
66625,"Topeka",7334,"CLYDE","ST","",106204,"KS"
66112,"Kansas City",4195,"FERNWOOD","DR","",103435,"KS"
66624,"Topeka",1112,"BADGER","ST","",106404,"KS"
66622,"Topeka",9111,"VEGA","ST","",107551,"KS"
66282,"Overland Park",4062,"LUDLOW","ALY","",101040,"KS"
66160,"Kansas City",1785,"RUDDEN","AVE","",101435,"KS"
66610,"Topeka",5172,"SANTA ANA","AVE","",105309,"KS"
